age,income,loan_amount,credit_history_years,existing_loans,employment_years,debt_to_income,default
25,40754.85,26220.99,17,4,7,0.643,1
49,68152.37,5772.24,18,2,11,0.085,0
57,52247.24,4711.14,1,2,2,0.09,0
58,50911.79,20095.47,3,1,20,0.395,0
39,48452.77,1000.0,10,2,3,0.021,0
28,85168.36,18054.47,2,4,26,0.212,0
21,77316.77,26748.07,8,2,11,0.346,1
42,64897.93,8020.12,9,3,7,0.124,0
37,46593.98,6646.08,1,1,26,0.143,0
27,50791.22,19720.19,6,3,22,0.388,0
45,60611.33,5634.05,14,4,29,0.093,0
24,39567.82,21486.55,18,4,22,0.543,1
56,68766.31,6285.52,9,2,9,0.091,0
26,31575.1,29147.22,23,0,25,0.923,1
51,57836.87,20298.45,19,0,22,0.351,0
39,10000.0,15304.35,13,4,0,1.53,1
64,38987.63,28686.04,3,4,12,0.736,1
59,91553.54,23252.35,24,1,6,0.254,0
47,70723.83,17948.93,10,4,19,0.254,0
30,80709.37,1000.0,2,4,27,0.012,0
46,36653.85,9388.05,22,1,2,0.256,0
39,52075.46,23683.28,16,3,28,0.455,0
59,75639.85,4598.99,6,3,15,0.061,0
23,62661.9,8874.21,10,1,11,0.142,0
33,60171.32,6823.22,17,1,28,0.113,0
48,82611.64,18218.85,13,3,4,0.221,0
40,29190.9,22708.89,13,3,17,0.778,1
48,46315.24,22716.79,5,3,7,0.49,1
28,14918.29,8177.44,8,3,11,0.548,1
61,28097.88,18109.27,21,2,27,0.645,0
59,71483.71,7800.94,2,1,24,0.109,0
21,31653.01,13315.61,16,0,20,0.421,0
23,64710.49,19161.34,11,2,2,0.296,0
33,83169.7,23491.0,3,0,15,0.282,0
48,46441.24,1000.0,19,0,9,0.022,0
45,60397.27,15789.08,15,4,22,0.261,0
53,64866.24,26258.35,23,1,16,0.405,0
58,25570.1,16857.76,9,2,9,0.659,1
26,37670.95,15660.91,6,1,2,0.416,1
64,29926.78,10495.94,9,3,24,0.351,0
52,39265.54,26046.02,6,1,1,0.663,1
41,64322.21,10865.73,22,0,26,0.169,0
36,38096.07,14198.8,17,3,13,0.373,1
41,49296.94,11238.29,8,1,8,0.228,0
31,29150.77,15865.56,21,1,26,0.544,0
57,74528.44,26405.22,17,0,16,0.354,0
56,39097.8,7751.15,16,3,3,0.198,0
55,80459.61,15900.43,10,0,27,0.198,0
39,51218.58,18128.52,0,1,25,0.354,0
40,21860.01,8501.34,16,2,28,0.389,0
38,46579.47,14527.87,3,2,21,0.312,1
61,28744.46,29810.72,3,4,14,1.037,1
34,61786.99,1000.0,13,2,12,0.016,0
35,44772.74,11630.39,8,3,22,0.26,0
51,53264.21,17004.48,12,4,18,0.319,0
21,42612.94,11992.46,15,3,8,0.281,0
23,38893.15,38089.98,0,2,3,0.979,1
36,30527.56,19389.53,2,2,20,0.635,1
43,66724.46,6645.05,18,1,7,0.1,0
31,46536.94,1000.0,7,3,27,0.021,0
32,43706.18,17722.21,17,0,14,0.405,0
30,46035.72,8955.05,5,1,13,0.195,0
52,36422.76,25311.19,19,3,2,0.695,1
36,43772.97,12801.08,5,4,23,0.292,0
28,54112.6,10453.19,4,3,29,0.193,0
58,29317.26,10318.02,11,4,29,0.352,0
32,32212.96,22892.07,8,4,26,0.711,1
44,77565.68,18324.66,8,2,16,0.236,0
48,42744.87,29047.65,16,0,7,0.68,1
28,38968.78,13279.14,18,3,13,0.341,0
48,23122.57,21898.24,16,0,12,0.947,1
56,67013.55,22035.01,21,4,14,0.329,0
46,28881.48,20390.51,15,2,10,0.706,1
28,49694.15,10921.14,11,0,26,0.22,0
48,15836.3,18787.26,2,1,14,1.186,1
48,66363.46,14222.06,13,4,11,0.214,1
57,73537.12,14011.87,16,1,25,0.191,0
61,59690.41,8553.52,21,0,23,0.143,0
56,19310.4,1000.0,15,0,21,0.052,0
47,66775.24,24987.01,20,0,20,0.374,0
37,33453.02,18452.47,11,3,8,0.552,1
29,26580.56,4254.41,23,4,21,0.16,0
53,42330.78,20741.68,1,4,14,0.49,1
40,41932.65,25145.08,7,4,0,0.6,1
33,39899.03,21221.34,11,3,11,0.532,1
48,75473.48,7866.89,20,0,5,0.104,0
49,90236.52,9144.06,15,0,0,0.101,0
33,22617.27,10616.99,7,1,21,0.469,0
55,36223.35,21888.68,15,3,18,0.604,1
26,52854.97,18831.68,9,2,21,0.356,0
38,42225.67,37322.33,19,3,12,0.884,1
25,57987.97,1872.92,14,1,5,0.032,0
45,68319.71,14579.21,3,1,16,0.213,0
22,64987.32,1000.0,14,1,12,0.015,0
30,62194.67,19773.18,3,0,8,0.318,0
50,83181.91,23535.16,10,2,7,0.283,0
25,18221.05,26536.85,5,1,14,1.456,1
53,79602.18,16508.18,3,4,17,0.207,0
21,41740.17,1000.0,8,0,1,0.024,0
38,65702.5,14598.81,8,2,20,0.222,0
52,29406.68,18494.32,2,4,25,0.629,1
31,31830.07,6958.83,22,2,1,0.219,0
41,63242.35,12880.17,4,2,10,0.204,0
46,11425.4,4783.6,14,4,0,0.419,1
45,69788.84,10098.36,8,3,17,0.145,0
42,75199.27,22299.73,1,2,20,0.297,1
47,53555.7,20441.3,2,3,26,0.382,1
33,52835.22,3838.24,20,2,25,0.073,0
53,33327.28,9360.12,11,4,29,0.281,0
54,63488.99,15456.74,15,2,6,0.243,0
61,56953.3,16812.19,4,1,20,0.295,0
55,31569.89,9696.83,9,1,16,0.307,0
21,42170.4,18811.66,14,2,15,0.446,0
41,46813.29,14717.74,13,4,6,0.314,0
26,42143.96,1000.0,13,4,21,0.024,0
48,22741.77,10426.64,22,0,6,0.458,0
37,63980.41,10198.19,12,4,1,0.159,0
25,45129.79,20426.19,15,3,4,0.453,1
51,50307.3,20568.47,7,2,13,0.409,1
25,38434.67,1623.18,7,1,7,0.042,0
58,59505.43,18507.77,16,4,28,0.311,0
23,53973.92,14408.29,16,1,11,0.267,0
43,74255.69,16011.4,2,0,6,0.216,0
57,59611.97,10089.38,0,2,5,0.169,0
57,45946.31,14505.36,16,4,12,0.316,0
30,35205.66,24202.61,23,1,21,0.687,1
30,67319.05,15897.49,15,4,11,0.236,0
39,44348.48,14660.59,16,0,16,0.331,0
37,46565.65,11166.37,24,1,15,0.24,0
41,46560.57,23418.05,1,1,0,0.503,1
34,41967.85,4753.7,24,2,6,0.113,0
29,46909.22,8584.24,13,2,2,0.183,0
21,88524.15,4294.31,6,1,5,0.049,0
33,29043.56,16605.48,24,2,27,0.572,0
24,33709.92,24437.98,18,1,20,0.725,1
21,77686.49,12369.64,0,3,2,0.159,0
60,42503.91,6444.76,16,4,21,0.152,0
52,40987.57,28091.57,9,3,2,0.685,1
54,70697.28,18610.26,5,3,7,0.263,0
48,21596.09,17220.19,6,4,13,0.797,1
51,66429.09,13478.47,24,1,22,0.203,0
28,50912.33,20352.11,5,1,8,0.4,1
59,59296.04,17094.84,4,2,4,0.288,0
46,58920.62,11149.85,1,0,27,0.189,0
54,37440.35,12489.58,17,1,14,0.334,0
23,71023.68,6840.91,23,4,16,0.096,0
32,38997.25,5843.48,16,0,26,0.15,0
21,58176.98,12626.78,23,4,9,0.217,0
64,74754.49,24233.72,22,4,26,0.324,0
25,77578.03,6726.69,6,4,7,0.087,0
50,44657.47,21690.96,20,0,17,0.486,0
50,59262.71,8608.52,18,3,5,0.145,0
37,42810.22,1000.0,6,4,16,0.023,0
43,100075.92,19372.8,22,2,21,0.194,0
35,65602.52,28030.14,6,1,3,0.427,1
57,51681.17,8154.12,15,1,20,0.158,0
41,56251.24,2441.03,11,1,14,0.043,0
34,58142.11,18639.32,14,0,9,0.321,0
22,58734.87,7614.61,14,2,22,0.13,0
31,45200.04,19293.17,10,2,12,0.427,1
59,42113.45,24211.84,1,2,21,0.575,1
58,46962.93,17644.94,2,2,0,0.376,1
54,27206.17,21478.15,18,2,24,0.789,1
58,64365.49,21532.9,19,3,21,0.335,0
54,33965.9,22919.57,24,2,21,0.675,1
38,28801.0,15361.69,14,2,8,0.533,1
50,49712.91,21232.61,15,0,27,0.427,0
35,47397.55,16315.21,0,0,25,0.344,0
47,54992.69,18130.56,14,2,4,0.33,0
54,38635.89,39413.69,11,3,10,1.02,1
58,42149.15,16932.8,6,2,21,0.402,0
53,63842.39,3017.92,6,2,21,0.047,0
44,62624.34,13420.65,10,2,22,0.214,0
35,61790.5,12515.79,19,4,24,0.203,0
50,50679.35,12881.65,10,3,20,0.254,0
62,53378.45,22627.54,16,1,20,0.424,0
37,54608.78,24044.73,2,2,3,0.44,1
25,36879.17,14154.92,15,1,25,0.384,0
49,79480.93,3865.01,4,3,19,0.049,0
24,76631.76,15792.76,1,2,15,0.206,1
30,65884.91,10652.89,22,1,27,0.162,0
37,41482.77,16683.24,6,1,23,0.402,0
30,60782.88,14032.3,9,3,28,0.231,0
37,69567.4,24730.86,4,2,17,0.355,0
40,25536.06,17198.46,14,4,25,0.673,1
44,83890.24,10678.47,11,3,7,0.127,0
25,15212.25,3915.74,9,4,1,0.257,0
54,64092.12,14615.89,21,2,16,0.228,0
26,79065.65,14644.5,16,1,9,0.185,0
22,47738.73,12900.31,19,3,12,0.27,0
33,46990.71,21202.59,19,3,14,0.451,1
63,63353.22,3937.77,10,3,8,0.062,0
63,87037.64,8899.65,7,0,26,0.102,0
31,44378.65,15423.34,14,2,7,0.348,0
43,34380.9,10523.93,1,0,5,0.306,0
36,41524.49,12146.33,16,3,3,0.293,0
51,18949.72,14517.99,22,3,17,0.766,1
31,67955.16,20487.72,5,4,23,0.301,0
36,39718.34,14195.41,20,0,2,0.357,0
28,45833.22,1000.0,12,1,25,0.022,0
24,68192.42,10177.62,7,2,3,0.149,0
60,42461.79,18966.27,10,1,20,0.447,0
24,65181.81,21101.39,14,1,12,0.324,0
45,29238.23,21542.86,12,2,19,0.737,1
23,69174.39,23809.42,17,3,10,0.344,1
52,56838.1,15947.5,17,4,7,0.281,0
23,48228.42,17105.32,24,3,24,0.355,0
47,52617.87,6888.73,16,3,13,0.131,0
49,24264.77,1000.0,21,0,13,0.041,0
52,52160.01,3659.34,12,1,15,0.07,0
39,47166.6,9385.3,2,1,13,0.199,0
41,24811.35,4122.36,20,1,0,0.166,0
25,36578.49,12656.58,23,4,1,0.346,0
38,47415.09,11303.29,6,4,27,0.238,0
48,37854.16,22502.62,11,4,19,0.594,1
62,10000.0,7246.91,3,2,0,0.725,1
42,71527.75,16124.66,23,4,10,0.225,0
41,47158.2,11641.86,10,0,5,0.247,0
26,10000.0,6947.37,13,0,14,0.695,1
21,92699.26,9178.31,17,3,11,0.099,0
25,74827.85,1000.0,6,3,4,0.013,0
61,43020.36,20986.77,4,3,28,0.488,0
32,33150.05,26218.09,15,3,22,0.791,1
46,58063.82,12860.27,10,0,11,0.221,0
54,54046.54,15232.5,21,3,21,0.282,0
34,60841.8,12633.14,2,0,13,0.208,0
46,33207.59,8439.27,15,4,13,0.254,0
47,71955.44,20639.22,10,4,18,0.287,1
29,40530.76,17552.55,9,2,4,0.433,1
46,63615.31,1000.0,22,3,2,0.016,0
42,34061.21,6723.11,22,4,24,0.197,0
50,102962.88,1000.0,1,4,17,0.01,0
63,63910.47,27443.31,15,1,5,0.429,1
37,107684.65,13625.37,16,1,8,0.127,0
46,66552.04,16925.61,9,0,25,0.254,0
56,38770.71,12173.64,17,2,6,0.314,0
21,66587.62,23821.57,11,1,20,0.358,0
28,68011.56,21885.64,7,2,17,0.322,1
55,57466.48,13276.17,2,4,1,0.231,1
35,62607.85,28743.94,19,0,19,0.459,0
42,65234.54,16482.55,23,2,9,0.253,0
34,30126.38,3319.0,2,1,11,0.11,0
46,28702.83,15800.15,5,4,1,0.55,1
48,34115.66,19139.53,1,3,27,0.561,1
43,52550.85,13934.2,2,4,12,0.265,1
34,45536.58,11708.14,16,1,28,0.257,0
44,30488.59,29114.89,8,1,7,0.955,1
22,65506.28,5513.1,3,3,25,0.084,0
46,55660.9,1000.0,21,4,22,0.018,0
34,53378.58,27952.43,22,2,6,0.524,1
27,44840.21,5191.62,1,2,2,0.116,0
23,42435.44,12707.06,23,4,22,0.299,0
43,33173.38,11980.54,8,2,7,0.361,1
63,68674.81,24853.99,13,4,20,0.362,0
38,35930.14,26478.85,10,4,0,0.737,1
58,54187.81,4661.0,1,1,14,0.086,0
55,83240.21,25855.28,20,0,0,0.311,0
35,43354.85,25707.28,1,1,11,0.593,1
45,69214.04,15154.84,4,2,10,0.219,0
57,61374.18,22460.34,6,0,15,0.366,0
48,56229.35,23262.64,21,4,29,0.414,0
30,58606.97,12980.58,3,2,3,0.221,0
59,48101.87,13739.47,13,3,1,0.286,1
37,50695.52,19714.62,1,2,22,0.389,1
59,39037.72,1971.8,22,0,28,0.051,0
42,50829.14,12169.55,11,0,2,0.239,0
46,38295.48,5397.13,9,4,27,0.141,0
64,70113.1,26388.63,24,3,3,0.376,0
45,16010.05,12075.34,0,4,24,0.754,1
37,59621.07,17210.99,18,3,17,0.289,0
33,56731.73,13252.7,22,3,11,0.234,0
40,54920.32,12732.13,15,4,23,0.232,0
45,70489.98,16687.73,14,2,0,0.237,0
24,44277.53,9154.85,13,1,2,0.207,0
30,55108.68,13412.14,8,3,3,0.243,1
23,15669.16,13353.26,20,0,29,0.852,0
61,41693.66,11614.28,22,4,5,0.279,0
38,67114.73,18128.46,14,2,16,0.27,0
56,23216.77,11424.03,6,3,29,0.492,0
42,53194.87,27888.92,3,2,7,0.524,1
54,36449.66,20031.71,20,4,17,0.55,1
28,47780.26,4205.52,17,0,15,0.088,0
60,37646.45,19407.02,7,3,20,0.516,1
64,25056.09,9484.16,11,3,5,0.379,1
39,57720.07,16085.52,14,2,23,0.279,0
62,49008.06,9150.44,14,4,18,0.187,0
61,62252.58,1000.0,16,1,27,0.016,0
57,65888.76,14826.13,1,3,24,0.225,0
26,74505.17,3524.67,11,0,27,0.047,0
46,52669.73,18357.72,2,3,20,0.349,0
54,75372.42,16398.28,6,3,7,0.218,0
26,30484.51,10168.92,5,1,3,0.334,1
57,68179.2,29604.3,13,1,27,0.434,0
53,59187.81,5085.7,22,4,8,0.086,0
42,54661.85,10005.3,4,3,7,0.183,0
41,58894.64,6034.47,3,3,20,0.102,0
26,30785.22,31330.53,14,2,18,1.018,1
26,26065.06,25817.95,6,2,0,0.991,1
24,84196.56,3623.03,2,0,20,0.043,0
50,46625.56,8395.35,12,0,20,0.18,0
31,46340.13,8666.73,9,2,3,0.187,0
50,27953.81,10594.18,22,0,9,0.379,0
51,20364.43,6657.75,1,3,25,0.327,0
44,48233.62,10153.99,11,1,7,0.211,0
29,43168.24,23038.98,23,3,2,0.534,1
23,50034.69,30575.3,21,2,11,0.611,1
51,51743.08,2644.81,11,4,25,0.051,0
60,99789.22,6671.14,18,4,8,0.067,0
57,43228.4,16708.48,18,2,2,0.387,0
56,81598.8,2357.55,20,3,3,0.029,0
44,82840.48,16915.46,2,0,5,0.204,0
51,65072.49,19320.82,5,0,8,0.297,0
26,45297.47,20605.22,1,4,25,0.455,1
22,22770.55,19097.16,23,2,1,0.839,1
40,59558.88,10718.01,12,2,1,0.18,0
48,70376.24,13546.64,8,1,17,0.192,0
31,84953.75,5563.78,12,4,20,0.065,0
24,31000.84,18714.71,22,2,21,0.604,1
35,45129.47,27826.88,13,1,2,0.617,1
26,31122.71,18697.61,18,0,2,0.601,1
50,37330.44,9439.99,10,4,17,0.253,0
58,63287.75,22958.33,13,4,26,0.363,1
22,36413.9,33925.17,15,2,5,0.932,1
35,33514.58,16945.2,9,2,0,0.506,1
31,65939.92,19435.78,19,3,24,0.295,0
28,59014.78,20421.61,15,0,14,0.346,0
46,57000.22,2164.34,1,0,10,0.038,0
64,36942.25,11711.02,24,1,9,0.317,0
25,75860.47,10889.07,15,1,3,0.144,0
26,50289.8,21678.93,13,3,13,0.431,1
46,97603.8,20746.95,20,0,1,0.213,0
24,53223.32,14034.11,17,1,12,0.264,0
39,10000.0,10408.98,5,0,15,1.041,1
40,10000.0,1507.23,6,0,11,0.151,0
53,62479.0,14876.7,12,1,21,0.238,0
40,76009.88,7363.46,1,2,4,0.097,0
32,34323.44,6371.99,14,2,18,0.186,0
21,92019.58,22410.15,16,1,28,0.244,0
46,83259.98,21575.36,12,3,2,0.259,0
34,54210.94,11091.25,6,4,20,0.205,0
58,60789.08,2447.65,0,0,19,0.04,0
57,67890.6,8393.51,2,4,20,0.124,0
31,87799.9,22946.03,19,1,1,0.261,0
56,63642.72,18741.75,17,0,26,0.294,0
33,53758.63,11225.56,6,4,16,0.209,0
63,63446.02,15470.03,20,2,20,0.244,0
23,60747.21,1000.0,16,3,10,0.016,0
53,68488.2,1000.0,11,4,0,0.015,0
26,18599.53,30817.01,15,3,18,1.657,1
30,56317.07,19052.21,23,2,7,0.338,0
25,59208.81,15013.3,9,4,10,0.254,0
43,48543.06,11824.35,22,1,7,0.244,0
30,65683.33,1000.0,15,0,24,0.015,0
64,88423.35,22945.71,19,2,16,0.259,0
22,52764.34,5904.89,17,3,19,0.112,0
33,63834.42,20633.46,14,3,5,0.323,0
60,82125.3,16056.01,22,2,6,0.196,0
22,53231.29,14583.24,10,1,20,0.274,0
40,32230.74,4581.07,17,1,12,0.142,0
21,62315.58,4687.6,5,3,6,0.075,0
57,10000.0,18119.48,0,2,10,1.812,1
29,10000.0,15633.73,22,2,9,1.563,1
37,56660.24,15377.34,6,0,7,0.271,0
29,10000.0,17288.33,11,3,9,1.729,1
31,23696.65,1000.0,19,1,21,0.042,0
35,42398.03,23121.15,3,4,10,0.545,1
44,35571.67,12152.8,9,1,19,0.342,0
58,47043.87,24357.16,20,1,16,0.518,0
55,72257.4,1000.0,1,4,10,0.014,0
50,54769.62,19552.21,8,3,15,0.357,1
51,33213.59,19476.63,9,0,4,0.586,1
25,77088.82,3110.94,19,1,9,0.04,0
64,21422.86,9885.95,10,1,25,0.461,0
34,54437.67,6523.95,24,3,25,0.12,0
31,19198.28,21905.7,13,3,19,1.141,1
29,55046.36,17471.11,2,2,4,0.317,1
54,43627.45,27790.79,24,3,19,0.637,1
32,71644.76,16623.63,0,3,8,0.232,0
55,64413.79,20857.95,6,1,2,0.324,0
55,38257.21,24376.09,3,0,2,0.637,1
21,34421.21,19435.41,6,1,9,0.565,1
60,43698.07,11926.53,15,3,6,0.273,0
42,87511.43,10437.64,9,2,1,0.119,0
49,82381.37,14362.13,14,0,24,0.174,0
28,30634.64,21372.67,15,2,7,0.698,1
31,66004.51,8871.18,5,4,11,0.134,0
61,15371.37,20217.23,3,2,29,1.315,1
57,41053.15,17581.06,3,2,21,0.428,0
34,31448.71,4973.55,23,3,29,0.158,0
50,71385.59,19828.28,22,3,28,0.278,0
55,24185.65,16135.37,3,3,8,0.667,1
41,58587.0,10595.81,21,3,10,0.181,0
57,50014.2,16019.43,21,3,18,0.32,0
25,46491.02,10906.79,16,2,19,0.235,0
39,83431.66,16981.38,12,4,22,0.204,0
34,85193.94,13656.32,1,3,16,0.16,0
46,47112.14,2760.61,19,4,12,0.059,0
24,43081.67,13895.72,5,4,0,0.323,1
45,19862.53,11458.53,21,1,0,0.577,1
62,49914.82,20084.69,0,1,27,0.402,0
45,89066.07,22038.15,7,0,7,0.247,0
38,47425.29,10927.99,17,1,12,0.23,0
60,64575.19,8684.84,20,3,5,0.134,0
28,22050.05,1558.77,3,4,2,0.071,0
59,41304.5,8487.7,4,0,15,0.205,0
60,59249.31,12413.85,4,1,9,0.21,0
34,52117.25,4285.89,14,2,6,0.082,0
52,66493.35,22145.09,9,0,21,0.333,0
58,37946.56,17097.3,7,3,20,0.451,1
53,15000.23,14036.67,6,4,2,0.936,1
43,72441.8,14866.63,11,3,13,0.205,0
35,31277.01,17448.36,24,3,15,0.558,0
53,60132.08,20064.76,10,2,3,0.334,1
45,59017.14,21472.06,12,2,28,0.364,0
37,16724.94,12526.95,14,4,12,0.749,1
53,70982.51,13864.52,16,1,26,0.195,0
22,38668.66,16383.76,21,3,26,0.424,0
34,51101.09,13537.91,21,1,0,0.265,0
60,42836.35,21978.54,17,4,24,0.513,1
60,82451.83,24818.58,7,3,4,0.301,0
59,76869.8,17752.59,5,1,17,0.231,0
26,13753.31,7734.47,10,3,11,0.562,1
26,95176.54,19067.21,8,2,10,0.2,0
23,36433.87,18069.59,4,2,8,0.496,1
27,92048.73,7063.66,6,0,27,0.077,0
28,44875.81,18060.8,21,4,6,0.402,0
62,43181.67,10646.48,14,1,13,0.247,0
35,45053.45,20968.75,20,3,29,0.465,1
49,41984.21,19002.16,21,0,23,0.453,0
53,100487.93,16783.89,3,4,28,0.167,0
50,48472.74,15308.37,18,4,2,0.316,1
59,43954.07,1000.0,12,4,15,0.023,0
47,51540.22,5285.8,0,1,29,0.103,0
56,30653.3,13953.59,0,2,6,0.455,1
49,81942.41,27155.07,21,0,26,0.331,0
58,20578.38,19517.45,13,1,0,0.948,1
53,37719.83,29512.37,8,3,5,0.782,1
57,68733.21,15663.9,23,1,25,0.228,0
47,50847.04,14753.19,11,3,5,0.29,0
53,60984.3,26401.0,17,3,26,0.433,1
24,80663.28,13726.29,8,4,9,0.17,1
42,70076.03,7108.24,7,1,11,0.101,0
22,52749.53,17534.03,13,2,21,0.332,0
30,91786.85,23980.11,8,3,18,0.261,0
25,37433.28,8392.42,19,4,5,0.224,0
30,47993.81,19712.35,24,2,13,0.411,0
53,49391.19,14254.11,1,1,2,0.289,1
58,47951.56,18610.8,0,2,9,0.388,1
33,28615.79,17508.27,12,1,8,0.612,1
51,18327.0,11685.56,24,3,22,0.638,0
56,58344.03,14150.5,9,0,29,0.243,0
44,37330.52,12174.18,7,0,28,0.326,0
35,88156.18,15949.99,6,3,19,0.181,0
49,48549.15,8231.22,23,2,18,0.17,0
28,44970.21,10143.32,11,1,21,0.226,0
25,71886.8,11688.32,16,0,14,0.163,0
49,58043.85,18133.62,24,1,8,0.312,0
24,46489.65,3675.73,11,3,18,0.079,0
32,37185.37,14142.96,15,2,7,0.38,0
22,123154.04,9334.33,9,1,21,0.076,0
47,57235.72,11708.7,24,2,3,0.205,0
51,71688.59,9718.65,11,0,4,0.136,0
56,29541.09,16556.58,10,1,18,0.56,1
56,38440.29,13743.09,24,4,13,0.358,0
46,92246.92,20692.88,13,0,17,0.224,0
63,77938.62,18213.85,21,2,24,0.234,0
47,59152.44,2703.63,19,3,28,0.046,0
25,42368.58,7320.01,12,4,18,0.173,0
40,45319.28,13615.14,1,1,5,0.3,0
31,36477.79,14656.52,19,0,4,0.402,0
30,26863.01,8025.75,6,1,25,0.299,0
60,68476.88,25431.79,0,1,10,0.371,0
58,60776.62,21917.5,24,4,23,0.361,1
26,64721.58,1842.07,2,4,4,0.028,0
28,43262.04,17763.41,19,4,26,0.411,0
43,55112.78,14633.63,11,4,7,0.266,0
46,41359.12,24951.0,4,3,26,0.603,1
63,35453.84,2440.93,11,2,4,0.069,0
32,83341.25,31478.84,2,4,10,0.378,1
46,52430.15,8256.43,19,0,25,0.157,0
33,60149.09,18028.21,4,1,12,0.3,0
60,66715.08,10149.14,0,4,5,0.152,0
38,52680.82,11990.73,15,0,4,0.228,0
45,54812.65,1484.66,8,3,17,0.027,0
53,28267.5,24575.09,9,0,25,0.869,1
60,32077.7,12842.82,9,0,9,0.4,0
63,31043.7,13386.74,12,3,15,0.431,0
32,62109.17,33499.86,15,3,21,0.539,1
64,51417.81,22675.54,19,1,13,0.441,0
56,32079.37,9653.11,24,4,22,0.301,0
24,61601.98,10117.95,3,0,14,0.164,0
25,60869.13,17078.41,13,2,2,0.281,0
57,36100.68,21165.84,16,2,2,0.586,1
28,49443.45,29019.54,4,1,11,0.587,1
62,60942.83,2135.21,12,2,22,0.035,0
48,32832.89,20816.15,24,1,14,0.634,0
51,61324.54,22101.35,2,4,10,0.36,1
29,56020.47,8683.95,4,1,9,0.155,0
49,30016.01,12117.92,15,3,19,0.404,0
34,54395.93,1957.35,18,3,14,0.036,0
60,57312.97,10992.85,18,3,17,0.192,0
61,37479.98,16856.75,16,3,24,0.45,0
42,39054.33,27752.94,17,3,13,0.711,1
31,29831.6,28490.92,17,3,28,0.955,1
43,41020.02,6765.6,24,3,24,0.165,0
21,49758.36,26662.87,22,3,5,0.536,1
57,39109.56,1000.0,7,3,13,0.026,0
41,20302.24,10320.56,17,4,15,0.508,1
46,36228.24,12585.52,8,3,1,0.347,0
56,41654.16,17014.32,18,1,18,0.408,0
43,66336.77,15852.08,9,4,4,0.239,1
21,61895.3,17925.59,1,2,10,0.29,0
60,66724.42,13536.34,16,0,10,0.203,0
35,35219.62,22676.71,24,4,20,0.644,1
41,52831.02,20534.69,23,3,28,0.389,0
29,10000.0,12683.5,12,4,24,1.268,1
29,58578.41,21739.15,10,0,25,0.371,0
30,62217.95,31547.48,15,0,18,0.507,0
46,42967.5,9613.93,19,3,17,0.224,0
61,55908.6,28402.69,6,3,25,0.508,1
55,19701.51,10332.2,2,1,7,0.524,1
45,33978.66,26282.61,15,0,22,0.774,0
46,65308.98,10632.51,18,3,11,0.163,0
31,60225.07,21125.3,19,0,8,0.351,0
58,41762.91,16437.06,15,1,2,0.394,1
22,66227.25,1000.0,1,2,5,0.015,0
27,52765.96,30324.42,13,0,20,0.575,1
38,39915.58,7836.38,19,1,20,0.196,0
47,46343.45,4843.21,9,1,25,0.105,0
54,40891.65,9884.49,18,1,23,0.242,0
47,26324.48,35249.98,23,4,0,1.339,1
37,75133.72,4970.29,10,3,16,0.066,0
63,38639.51,16425.95,17,0,2,0.425,0
64,33352.79,6014.7,10,4,26,0.18,0
44,19413.03,7386.33,8,0,17,0.38,0
45,10000.0,2204.62,18,4,17,0.22,0
27,64029.94,17521.35,19,3,1,0.274,0
26,65872.17,13710.24,9,1,3,0.208,0
44,73860.77,5949.07,2,0,0,0.081,0
53,47019.21,21985.63,2,1,9,0.468,1
49,43560.15,22829.77,23,3,24,0.524,0
63,39845.54,18257.75,7,0,29,0.458,0
42,41668.85,24365.36,5,2,4,0.585,1
46,72395.81,12207.92,19,2,4,0.169,0
48,49469.7,17579.0,0,2,8,0.355,0
41,57561.42,12238.8,19,3,13,0.213,0
27,41159.86,2941.34,23,2,20,0.071,0
37,76416.96,16753.97,5,0,12,0.219,0
40,11905.22,16269.42,1,2,12,1.367,1
61,25589.52,14758.45,18,0,26,0.577,0
40,57594.21,17991.0,6,3,29,0.312,0
42,85012.22,26295.22,10,1,23,0.309,0
48,45498.0,13364.64,10,4,26,0.294,0
60,33152.58,7342.65,3,2,0,0.221,0
27,70013.25,13017.99,19,4,16,0.186,0
21,56473.97,13905.28,15,1,19,0.246,0
52,75804.28,22868.71,4,3,7,0.302,1
33,24192.98,15853.3,23,3,2,0.655,1
50,74233.37,5814.49,6,1,16,0.078,0
43,19030.85,21443.66,24,4,26,1.127,1
39,44236.56,20161.02,15,2,11,0.456,1
52,58255.66,15856.82,14,0,24,0.272,0
50,53720.27,22585.97,4,3,24,0.42,1
49,71211.85,23924.86,0,1,24,0.336,0
49,13466.8,11980.48,19,4,24,0.89,1
50,52820.15,7798.71,21,2,17,0.148,0
36,73992.84,14904.99,21,4,13,0.201,0
60,51185.88,19292.89,8,2,29,0.377,0
39,27153.21,14157.16,20,0,10,0.521,0
38,70150.15,7092.61,4,0,26,0.101,0
21,37033.79,16301.38,21,1,15,0.44,0
34,33513.54,1000.0,5,1,26,0.03,0
22,30997.28,12404.31,2,2,3,0.4,1
48,46026.3,21809.33,5,2,17,0.474,1
50,53661.2,22243.51,7,2,6,0.415,1
58,24618.0,1000.0,5,2,10,0.041,0
24,28727.08,13459.33,15,0,15,0.469,0
21,36110.34,19794.21,15,1,15,0.548,0
28,30900.23,5591.34,20,1,2,0.181,0
49,50735.16,12024.36,2,3,24,0.237,0
59,57224.43,24661.73,16,1,22,0.431,0
